title,code,median annual wage 2012,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree
"Business operations specialists, all other",13-1199,"$65,120",1.9,12.2,20.3,9.6,35.5,16.7,3.8
Accountants and auditors,13-2011,"$63,550",0.1,4.1,7.9,9.5,57.1,18.7,2.6
Appraisers and assessors of real estate,13-2021,"$49,540",0.7,12.1,27.5,10.7,38.6,8.0,2.5
Budget analysts,13-2031,"$69,280",0.3,7.0,15.4,8.8,41.8,24.8,2.0
Credit analysts,13-2041,"$61,080",1.4,9.7,17.5,8.1,43.9,17.0,2.4
Financial analysts,13-2051,"$76,950",0.3,3.2,7.6,2.8,46.3,34.0,5.8
Personal financial advisors,13-2052,"$67,520",0.2,3.5,10.3,5.2,53.7,21.7,5.4
Insurance underwriters,13-2053,"$62,870",0.6,13.5,22.4,9.1,45.4,7.3,1.6
Financial examiners,13-2061,"$75,800",0.2,5.0,11.3,3.5,53.3,22.4,4.3
Credit counselors,13-2071,"$39,420",0.8,14.7,24.2,9.2,41.1,9.1,0.9
Loan officers,13-2072,"$59,820",0.8,14.7,24.2,9.2,41.1,9.1,0.9
"Tax examiners and collectors, and revenue agents",13-2081,"$50,440",1.4,16.3,23.9,9.9,37.9,9.4,1.4
Tax preparers,13-2082,"$33,730",2.7,13.4,24.5,9.5,33.2,12.5,4.2
"Financial specialists, all other",13-2099,"$61,160",1.3,10.3,21.4,7.5,38.5,18.4,2.6
Computer and information research scientists,15-1111,"$102,190",0.5,1.5,3.9,2.7,42.5,30.1,19.0
Computer systems analysts,15-1121,"$79,680",0.5,4.7,14.9,8.2,47.6,21.8,2.3
Information security analysts,15-1122,"$86,170",0.6,6.4,22.0,14.4,34.0,21.0,1.6
Computer programmers,15-1131,"$74,280",0.5,4.7,13.8,8.8,50.4,19.1,2.7
"Software developers, applications",15-1132,"$90,060",0.2,2.5,8.5,5.1,50.3,29.6,3.8
"Software developers, systems software",15-1133,"$99,000",0.2,2.5,8.5,5.1,50.3,29.6,3.8
Web developers,15-1134,"$62,500",0.5,4.5,17.6,8.1,53.7,14.2,1.5
Database administrators,15-1141,"$77,080",0.5,6.0,15.7,9.3,47.4,18.5,2.6
Network and computer systems administrators,15-1142,"$72,560",0.9,6.5,26.6,15.4,38.9,10.5,1.2
Computer network architects,15-1143,"$91,000",0.5,4.7,22.0,13.5,43.9,13.6,1.7
Computer user support specialists,15-1151,"$46,420",0.7,10.8,28.3,17.0,34.6,7.7,0.8
Computer network support specialists,15-1152,"$59,090",0.7,10.8,28.3,17.0,34.6,7.7,0.8
"Computer occupations, all other",15-1199,"$81,140",0.8,9.4,23.6,14.9,37.4,12.8,1.1
Actuaries,15-2011,"$93,680",0.0,0.0,0.5,0.4,59.8,25.9,13.5
Mathematicians,15-2021,"$101,360",0.4,0.4,7.0,2.8,34.3,35.1,20.0
Operations research analysts,15-2031,"$72,100",0.2,5.6,15.5,8.2,39.2,26.6,4.6
Statisticians,15-2041,"$75,560",0.4,0.4,7.0,2.8,34.3,35.1,20.0
Mathematical technicians,15-2091,"$56,820",0.4,0.4,7.0,2.8,34.3,35.1,20.0
"Mathematical science occupations, all other",15-2099,"$56,120",0.4,0.4,7.0,2.8,34.3,35.1,20.0
"Architects, except landscape and naval",17-1011,"$73,090",0.0,1.6,4.8,4.0,52.4,30.0,7.2
Landscape architects,17-1012,"$64,180",0.0,1.6,4.8,4.0,52.4,30.0,7.2
Cartographers and photogrammetrists,17-1021,"$57,440",0.0,0.3,11.2,7.9,65.1,12.9,2.6
Surveyors,17-1022,"$56,230",0.0,0.3,11.2,7.9,65.1,12.9,2.6
Aerospace engineers,17-2011,"$103,720",0.1,2.2,7.4,5.4,47.9,31.8,5.1
Agricultural engineers,17-2021,"$74,000",0.0,1.3,6.0,15.2,38.3,26.4,12.8
Biomedical engineers,17-2031,"$86,960",0.0,1.3,6.0,15.2,38.3,26.4,12.8
Chemical engineers,17-2041,"$94,350",0.0,3.0,4.6,3.9,55.3,23.4,9.8
Civil engineers,17-2051,"$79,340",0.1,2.8,7.1,4.7,58.1,23.6,3.6
Computer hardware engineers,17-2061,"$100,920",0.0,5.0,13.1,9.7,44.7,24.1,3.4
Electrical engineers,17-2071,"$87,920",0.1,3.3,8.5,9.1,48.6,25.3,5.2
"Electronics engineers, except computer",17-2072,"$91,820",0.1,3.3,8.5,9.1,48.6,25.3,5.2
Environmental engineers,17-2081,"$80,890",0.2,3.9,3.9,4.2,47.4,35.5,5.0
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,"$76,830",0.2,5.1,13.3,9.4,50.4,19.4,2.1
Industrial engineers,17-2112,"$78,860",0.2,5.1,13.3,9.4,50.4,19.4,2.1
Marine engineers and naval architects,17-2121,"$88,100",0.0,9.9,11.9,9.1,47.2,19.3,2.6
Materials engineers,17-2131,"$85,150",0.0,6.5,9.6,8.6,49.6,19.8,6.0
Mechanical engineers,17-2141,"$80,580",0.1,4.7,9.4,11.4,51.6,19.9,2.9
"Mining and geological engineers, including mining safety engineers",17-2151,"$84,320",0.2,3.1,8.8,4.7,58.6,20.2,4.3
Nuclear engineers,17-2161,"$104,270",0.1,3.3,8.0,6.6,48.5,26.2,7.3
Petroleum engineers,17-2171,"$130,280",0.2,3.1,8.8,4.7,58.6,20.2,4.3
"Engineers, all other",17-2199,"$92,030",0.1,3.3,8.0,6.6,48.5,26.2,7.3
Architectural and civil drafters,17-3011,"$47,870",1.4,11.7,27.8,31.6,23.1,3.9,0.5
Electrical and electronics drafters,17-3012,"$55,700",1.4,11.7,27.8,31.6,23.1,3.9,0.5
Mechanical drafters,17-3013,"$50,360",1.4,11.7,27.8,31.6,23.1,3.9,0.5
"Drafters, all other",17-3019,"$46,110",1.4,11.7,27.8,31.6,23.1,3.9,0.5
Aerospace engineering and operations technicians,17-3021,"$61,530",3.5,23.3,33.1,22.6,14.5,2.3,0.6
Civil engineering technicians,17-3022,"$47,560",3.5,23.3,33.1,22.6,14.5,2.3,0.6
Electrical and electronics engineering technicians,17-3023,"$57,850",3.5,23.3,33.1,22.6,14.5,2.3,0.6
Electro-mechanical technicians,17-3024,"$51,820",3.5,23.3,33.1,22.6,14.5,2.3,0.6
Environmental engineering technicians,17-3025,"$45,350",3.5,23.3,33.1,22.6,14.5,2.3,0.6
Industrial engineering technicians,17-3026,"$50,980",3.5,23.3,33.1,22.6,14.5,2.3,0.6
Mechanical engineering technicians,17-3027,"$51,980",3.5,23.3,33.1,22.6,14.5,2.3,0.6
"Engineering technicians, except drafters, all other",17-3029,"$59,440",3.5,23.3,33.1,22.6,14.5,2.3,0.6
Surveying and mapping technicians,17-3031,"$39,670",4.3,26.8,36.8,21.0,9.6,1.2,0.3
Animal scientists,19-1011,"$61,680",0.0,0.0,11.4,7.7,42.9,19.7,18.3
Food scientists and technologists,19-1012,"$58,070",0.0,0.0,11.4,7.7,42.9,19.7,18.3
Soil and plant scientists,19-1013,"$58,740",0.0,0.0,11.4,7.7,42.9,19.7,18.3
Biochemists and biophysicists,19-1021,"$81,480",0.1,0.1,1.2,2.5,46.5,27.6,22.0
Microbiologists,19-1022,"$66,260",0.1,0.1,1.2,2.5,46.5,27.6,22.0
Zoologists and wildlife biologists,19-1023,"$57,710",0.1,0.1,1.2,2.5,46.5,27.6,22.0
"Biological scientists, all other",19-1029,"$72,700",0.1,0.1,1.2,2.5,46.5,27.6,22.0
Conservation scientists,19-1031,"$61,100",0.0,0.0,9.0,4.4,65.2,16.1,5.3
Foresters,19-1032,"$55,950",0.0,0.0,9.0,4.4,65.2,16.1,5.3
Epidemiologists,19-1041,"$65,270",0.0,0.1,0.5,0.9,6.6,29.4,62.5
"Medical scientists, except epidemiologists",19-1042,"$76,980",0.0,0.1,0.5,0.9,6.6,29.4,62.5
"Life scientists, all other",19-1099,"$65,330",0.0,0.1,0.5,0.9,6.6,29.4,62.5
Astronomers,19-2011,"$96,460",1.0,0.0,5.4,0.6,13.8,28.2,51.0
Physicists,19-2012,"$106,840",1.0,0.0,5.4,0.6,13.8,28.2,51.0
Atmospheric and space scientists,19-2021,"$89,260",0.0,0.0,6.3,2.9,46.8,28.4,15.6
Chemists,19-2031,"$71,770",0.1,0.0,4.0,2.9,53.6,19.0,20.5
Materials scientists,19-2032,"$88,990",0.1,0.0,4.0,2.9,53.6,19.0,20.5
"Environmental scientists and specialists, including health",19-2041,"$63,570",0.1,0.2,3.1,2.6,46.7,35.7,11.6
"Geoscientists, except hydrologists and geographers",19-2042,"$90,890",0.1,0.2,3.1,2.6,46.7,35.7,11.6
Hydrologists,19-2043,"$75,530",0.1,0.2,3.1,2.6,46.7,35.7,11.6
"Physical scientists, all other",19-2099,"$91,640",0.1,0.0,0.2,0.9,24.2,22.8,51.8
Economists,19-3011,"$91,860",0.2,0.5,0.4,0.2,22.1,41.5,35.2
Survey researchers,19-3022,"$45,050",0.3,0.5,5.4,3.9,37.6,38.4,13.8
"Clinical, counseling, and school psychologists",19-3031,"$67,650",0.1,0.1,0.3,0.1,6.9,40.8,51.7
Industrial-organizational psychologists,19-3032,"$83,580",0.1,0.1,0.3,0.1,6.9,40.8,51.7
"Psychologists, all other",19-3039,"$90,020",0.1,0.1,0.3,0.1,6.9,40.8,51.7
Sociologists,19-3041,"$74,960",0.3,0.5,5.4,3.9,37.6,38.4,13.8
Urban and regional planners,19-3051,"$65,230",0.0,0.3,4.1,2.1,39.9,48.8,4.7
Anthropologists and archeologists,19-3091,"$57,420",0.3,0.5,5.4,3.9,37.6,38.4,13.8
Geographers,19-3092,"$74,760",0.3,0.5,5.4,3.9,37.6,38.4,13.8
Historians,19-3093,"$52,480",0.3,0.5,5.4,3.9,37.6,38.4,13.8
Political scientists,19-3094,"$102,000",0.3,0.5,5.4,3.9,37.6,38.4,13.8
"Social scientists and related workers, all other",19-3099,"$76,540",0.3,0.5,5.4,3.9,37.6,38.4,13.8
Agricultural and food science technicians,19-4011,"$34,070",7.8,28.8,23.1,11.3,23.9,3.1,1.9
Biological technicians,19-4021,"$39,750",3.4,16.6,17.0,8.7,39.5,8.3,6.5
Chemical technicians,19-4031,"$42,920",3.7,23.3,26.8,11.8,27.1,4.2,3.1
Geological and petroleum technicians,19-4041,"$52,700",4.1,21.5,30.0,10.7,24.8,6.9,2.0
Nuclear technicians,19-4051,"$69,060",4.1,21.5,30.0,10.7,24.8,6.9,2.0
Social science research assistants,19-4061,"$37,140",3.2,13.8,25.0,12.0,30.9,10.3,4.8
"Environmental science and protection technicians, including health",19-4091,"$41,240",3.2,13.8,25.0,12.0,30.9,10.3,4.8
Forensic science technicians,19-4092,"$52,840",3.2,13.8,25.0,12.0,30.9,10.3,4.8
Forest and conservation technicians,19-4093,"$33,920",3.2,13.8,25.0,12.0,30.9,10.3,4.8
"Life, physical, and social science technicians, all other",19-4099,"$43,130",3.2,13.8,25.0,12.0,30.9,10.3,4.8
Substance abuse and behavioral disorder counselors,21-1011,"$38,520",0.8,5.0,9.9,5.5,26.3,47.5,5.1
"Educational, guidance, school, and vocational counselors",21-1012,"$53,610",0.8,5.0,9.9,5.5,26.3,47.5,5.1
Marriage and family therapists,21-1013,"$46,670",0.8,5.0,9.9,5.5,26.3,47.5,5.1
Mental health counselors,21-1014,"$40,080",0.8,5.0,9.9,5.5,26.3,47.5,5.1
Rehabilitation counselors,21-1015,"$33,880",0.8,5.0,9.9,5.5,26.3,47.5,5.1
"Counselors, all other",21-1019,"$43,810",0.8,5.0,9.9,5.5,26.3,47.5,5.1
"Child, family, and school social workers",21-1021,"$41,530",0.8,5.4,10.0,6.0,41.9,34.0,1.9
Healthcare social workers,21-1022,"$49,830",0.8,5.4,10.0,6.0,41.9,34.0,1.9
Mental health and substance abuse social workers,21-1023,"$39,980",0.8,5.4,10.0,6.0,41.9,34.0,1.9
"Social workers, all other",21-1029,"$54,560",0.8,5.4,10.0,6.0,41.9,34.0,1.9
Health educators ,21-1091,"$48,790",2.7,13.2,23.3,8.1,31.2,18.4,3.1
Probation officers and correctional treatment specialists,21-1092,"$48,190",0.3,6.7,11.5,6.5,57.8,15.2,2.0
Social and human service assistants,21-1093,"$28,850",3.6,18.3,27.6,10.2,29.5,9.8,1.0
Community health workers,21-1094,"$34,620",2.7,13.2,23.3,8.1,31.2,18.4,3.1
"Community and social service specialists, all other",21-1099,"$41,060",2.7,13.2,23.3,8.1,31.2,18.4,3.1
Clergy,21-2011,"$44,060",2.1,6.0,12.6,4.2,24.1,34.2,16.7
"Directors, religious activities and education",21-2021,"$37,280",1.1,9.1,18.1,5.3,36.7,22.8,6.9
"Religious workers, all other",21-2099,"$26,380",3.3,11.6,19.8,6.2,32.0,19.6,7.5
Lawyers,23-1011,"$113,530",0.0,0.4,0.6,0.3,2.8,3.0,92.8
Judicial law clerks,23-1012,"$47,120",0.0,2.0,6.9,2.6,12.2,4.9,71.3
"Administrative law judges, adjudicators, and hearing officers",23-1021,"$87,240",0.0,0.4,0.6,0.3,2.8,3.0,92.8
"Arbitrators, mediators, and conciliators",23-1022,"$61,280",0.0,0.4,0.6,0.3,2.8,3.0,92.8
"Judges, magistrate judges, and magistrates",23-1023,"$115,760",0.0,0.4,0.6,0.3,2.8,3.0,92.8
Paralegals and legal assistants,23-2011,"$46,990",1.1,11.2,25.2,20.0,34.2,4.9,3.3
Court reporters,23-2091,"$48,160",1.5,17.6,27.1,13.1,28.3,8.1,4.4
"Title examiners, abstractors, and searchers",23-2093,"$41,970",1.5,17.6,27.1,13.1,28.3,8.1,4.4
"Legal support workers, all other",23-2099,"$52,660",1.5,17.6,27.1,13.1,28.3,8.1,4.4
"Business teachers, postsecondary",25-1011,"$73,660",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Computer science teachers, postsecondary",25-1021,"$72,200",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Mathematical science teachers, postsecondary",25-1022,"$64,990",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Architecture teachers, postsecondary",25-1031,"$71,610",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Engineering teachers, postsecondary",25-1032,"$92,670",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Agricultural sciences teachers, postsecondary",25-1041,"$80,490",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Biological science teachers, postsecondary",25-1042,"$74,180",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Forestry and conservation science teachers, postsecondary",25-1043,"$81,930",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,"$82,180",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Chemistry teachers, postsecondary",25-1052,"$71,140",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Environmental science teachers, postsecondary",25-1053,"$77,320",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Physics teachers, postsecondary",25-1054,"$78,540",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Anthropology and archeology teachers, postsecondary",25-1061,"$76,020",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Area, ethnic, and cultural studies teachers, postsecondary",25-1062,"$67,360",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Economics teachers, postsecondary",25-1063,"$87,950",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Geography teachers, postsecondary",25-1064,"$67,820",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Political science teachers, postsecondary",25-1065,"$72,170",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Psychology teachers, postsecondary",25-1066,"$68,020",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Sociology teachers, postsecondary",25-1067,"$66,150",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Social sciences teachers, postsecondary, all other",25-1069,"$69,890",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Health specialties teachers, postsecondary",25-1071,"$81,140",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Nursing instructors and teachers, postsecondary",25-1072,"$64,850",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Education teachers, postsecondary",25-1081,"$59,350",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Library science teachers, postsecondary",25-1082,"$65,780",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Criminal justice and law enforcement teachers, postsecondary",25-1111,"$58,040",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Law teachers, postsecondary",25-1112,"$99,950",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Social work teachers, postsecondary",25-1113,"$63,250",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Art, drama, and music teachers, postsecondary",25-1121,"$62,160",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Communications teachers, postsecondary",25-1122,"$62,180",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"English language and literature teachers, postsecondary",25-1123,"$60,040",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Foreign language and literature teachers, postsecondary",25-1124,"$58,670",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"History teachers, postsecondary",25-1125,"$65,870",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Philosophy and religion teachers, postsecondary",25-1126,"$64,990",0.2,0.1,2.6,2.3,16.0,35.6,43.3
Graduate teaching assistants,25-1191,"$31,270",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Home economics teachers, postsecondary",25-1192,"$64,040",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Recreation and fitness studies teachers, postsecondary",25-1193,"$57,920",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Vocational education teachers, postsecondary",25-1194,"$47,990",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Postsecondary teachers, all other",25-1199,"$64,290",0.2,0.1,2.6,2.3,16.0,35.6,43.3
"Preschool teachers, except special education",25-2011,"$27,130",2.0,13.2,23.8,13.7,33.9,12.7,0.7
"Kindergarten teachers, except special education",25-2012,"$50,120",2.0,13.2,23.8,13.7,33.9,12.7,0.7
"Elementary school teachers, except special education",25-2021,"$53,400",0.2,0.3,2.9,1.9,44.3,46.5,3.9
"Middle school teachers, except special and career/technical education",25-2022,"$53,430",0.2,0.3,2.9,1.9,44.3,46.5,3.9
"Career/technical education teachers, middle school",25-2023,"$54,220",0.2,0.3,2.9,1.9,44.3,46.5,3.9
"Secondary school teachers, except special and career/technical education",25-2031,"$55,050",0.2,0.2,2.3,1.5,43.4,48.3,4.0
"Career/technical education teachers, secondary school",25-2032,"$55,160",0.2,0.2,2.3,1.5,43.4,48.3,4.0
"Special education teachers, preschool",25-2051,"$52,480",0.5,3.0,6.0,3.6,36.9,46.8,3.2
"Special education teachers, kindergarten and elementary school",25-2052,"$53,820",0.5,3.0,6.0,3.6,36.9,46.8,3.2
"Special education teachers, middle school",25-2053,"$55,780",0.5,3.0,6.0,3.6,36.9,46.8,3.2
"Special education teachers, secondary school",25-2054,"$56,830",0.5,3.0,6.0,3.6,36.9,46.8,3.2
"Special education teachers, all other",25-2059,"$51,980",0.5,3.0,6.0,3.6,36.9,46.8,3.2
Adult basic and secondary education and literacy teachers and instructors ,25-3011,"$48,590",1.9,11.3,18.6,7.9,35.6,21.1,3.6
Self-enrichment education teachers,25-3021,"$35,320",1.9,11.3,18.6,7.9,35.6,21.1,3.6
"Teachers and instructors, all other",25-3099,"$28,540",1.9,11.3,18.6,7.9,35.6,21.1,3.6
Archivists,25-4011,"$47,340",0.9,3.3,7.7,3.8,33.5,41.5,9.3
Curators,25-4012,"$49,590",0.9,3.3,7.7,3.8,33.5,41.5,9.3
Museum technicians and conservators,25-4013,"$38,220",0.9,3.3,7.7,3.8,33.5,41.5,9.3
Librarians,25-4021,"$55,370",0.1,0.2,8.8,5.2,22.0,58.7,4.9
Library technicians,25-4031,"$30,660",3.5,35.1,19.5,9.3,19.5,11.5,1.6
Audio-visual and multimedia collections specialists,25-9011,"$43,350",0.5,5.1,11.2,4.4,29.6,38.5,10.7
Farm and home management advisors,25-9021,"$46,760",0.5,5.1,11.2,4.4,29.6,38.5,10.7
Instructional coordinators,25-9031,"$60,050",0.5,5.1,11.2,4.4,29.6,38.5,10.7
Teacher assistants,25-9041,"$23,640",2.6,29.4,30.1,13.8,19.4,4.1,0.6
"Education, training, and library workers, all other",25-9099,"$36,610",0.5,5.1,11.2,4.4,29.6,38.5,10.7
Art directors,27-1011,"$80,880",2.7,10.3,20.9,9.2,43.4,11.8,1.7
Craft artists,27-1012,"$29,600",2.7,10.3,20.9,9.2,43.4,11.8,1.7
"Fine artists, including painters, sculptors, and illustrators",27-1013,"$44,850",2.7,10.3,20.9,9.2,43.4,11.8,1.7
Multimedia artists and animators,27-1014,"$61,370",2.7,10.3,20.9,9.2,43.4,11.8,1.7
"Artists and related workers, all other",27-1019,"$59,840",2.7,10.3,20.9,9.2,43.4,11.8,1.7
Commercial and industrial designers,27-1021,"$59,610",2.3,10.8,17.9,13.3,46.4,8.0,1.2
Fashion designers,27-1022,"$62,860",2.3,10.8,17.9,13.3,46.4,8.0,1.2
Floral designers,27-1023,"$23,810",2.3,10.8,17.9,13.3,46.4,8.0,1.2
Graphic designers,27-1024,"$44,150",2.3,10.8,17.9,13.3,46.4,8.0,1.2
Interior designers,27-1025,"$47,600",2.3,10.8,17.9,13.3,46.4,8.0,1.2
Merchandise displayers and window trimmers,27-1026,"$26,410",2.3,10.8,17.9,13.3,46.4,8.0,1.2
Set and exhibit designers,27-1027,"$50,300",2.3,10.8,17.9,13.3,46.4,8.0,1.2
"Designers, all other",27-1029,"$45,330",2.3,10.8,17.9,13.3,46.4,8.0,1.2
Actors,27-2011,,0.9,14.7,22.7,4.6,46.4,9.6,1.1
Producers and directors,27-2012,"$71,350",0.6,4.9,14.8,5.5,58.1,13.9,2.3
Athletes and sports competitors,27-2021,"$40,060",2.8,10.2,19.3,7.7,42.8,15.5,1.8
Coaches and scouts,27-2022,"$28,360",2.8,10.2,19.3,7.7,42.8,15.5,1.8
"Umpires, referees, and other sports officials",27-2023,"$23,290",2.8,10.2,19.3,7.7,42.8,15.5,1.8
Dancers,27-2031,,11.0,28.0,26.9,10.0,19.8,4.3,0.0
Choreographers,27-2032,"$38,120",11.0,28.0,26.9,10.0,19.8,4.3,0.0
Music directors and composers,27-2041,"$47,350",3.6,14.1,22.6,5.6,31.1,18.9,4.2
Musicians and singers,27-2042,,3.6,14.1,22.6,5.6,31.1,18.9,4.2
